"Under a Waterfall (Relaxing Sounds)","59FRAcMcsHQupc8lupy5uH","1hnITnE98zsV3NUBb9umhi",1,55,"4NlsctTVxrTknjeiOKAdsr"
"Raining Blood","1IQ2e1buppatiN1bxUVkrk","2DumvqHl78bNXuvU9kQfPN",1,63,"01Mpj13vURSO3cCLprPt5T"
"Leathers","6Ghvu1VvMGScGpOUJBAHNH","4PIVdqvL1Rc7T7Vfsr8n8Q",1,46,"0RLhtEt50QUwKXNwKI4dSJ"
"No One Knows","4pejUc4iciQfgdX6OKulQn","58HZZpS0wxJKwGjoerg0mk",1,69,"6NvRxjfYkkT2SpirAlmsjH"
"Rain at Breakfast","3RchxeOVaDXmQRBWeL5CNZ","1LJRZdNhcKvJBZaslynq4h",1,46,"1rSuuvu4pp2OEeyvJqcXIN"
"Master Of Puppets","2ye2Wgw4gimLv2eAKyk1NB","6HrJ1inCYhLfhENJlNbSEf",1,69,"7HwB4zc7tS1lyw4Ay7fcmq"
"More Human Than Human","0CF71zaDOJWCynIkW9bSK8","0wY51EfU28wZszAM6kR3Ia",1,48,"1uEuVi8nSI6Y2VzJj6DoDd"
"The End / Aftermath","5fuUeZd4SaxYUaK7qQFytt","3jV2udmUEv2g7eyZNHZnnJ",1,7,"5cAKgQQnfKMaoi13fapkry"
"Simple Man","6Ghvu1VvMGScGpOUJBAHNH","0UArfu79AC2LrQ6lsvohp5",1,37,"5wf4k2z5mlfWIlE4wkqo8A"
"Beat the Devil's Tattoo","1tpXaFf2F55E7kVJON4j4G","04Aq1J0F5FcUUSEhFziTYc",1,58,"2iPTESocncak2Q45oXzKOG"
"Battery","2ye2Wgw4gimLv2eAKyk1NB","6HrJ1inCYhLfhENJlNbSEf",1,60,"4xdS8IfmiGxTixo5h7A1eM"
"Stitches","4uYwLU7k03RCQSRXGtQGg0","5iprjaDXa5reRKpCL6L99A",1,48,"5Y76U25W2UAZF9AwfrFAoJ"
"Video Phone - Extended Remix featuring Lady Gaga","6vWDO969PvNqNYHIOW5v0m","1wuC0jj7341uFOuCyqzwe8",1,53,"2nX9948PslVYrrHUf6w0eL"
"Around the Fur","6Ghvu1VvMGScGpOUJBAHNH","7o4UsmV37Sg5It2Eb7vHzu",1,54,"3Fwe3XoPOiyWUPYdBKMTqV"
"Bodyrock","3OsRAKCvk37zwYcnzRf5XF","3wRlU7n3LULfjL0e9RtB5Q",1,46,"1Go2Lyy4cQNKCz0PzUkj9S"
"To Our Friends In the Great White North","4kRYDoAbgDL7nqeqZhJlA3","7B06vu7RmpmD63PlUY1Yui",1,31,"2pD3YNzsMsXWX0DLG6uckv"
"We Are 138 - 1995 Digital Remaster","1cXi8ALPQCBHZbf0EgP4Ey","7dUrduNuWHYQ8pdDKtBedD",1,46,"3TQ4GxL3oghmLVpUD1oKmb"
"Revenge","4RddZ3iHvSpGV4dvATac9X","3VdXq4YQIt3ugs05SjFmsD",1,36,"6p4corR8e9KLGgL6lFrI8U"
"Rain on the Canopy","3RchxeOVaDXmQRBWeL5CNZ","1LJRZdNhcKvJBZaslynq4h",1,47,"0UhRFstE9JtsZwWRNU4aox"
"Just Go","5KDIH2gF0VpelTqyQS7udb","4fLp0YBi1chfMHSBkIeI6w",1,43,"45chhYFgWlUNobpEMq7PxP"
"Parallel Universe","0L8ExT028jH3ddEcZwqJJ5","0fLhefnjlIV3pGNF9Wo8CD",1,47,"3ZwxczCIlt4nA7czQaugvM"
"Highball With The Devil","17RsbUhjNq6WdID2oC90c1","4kQPgViVcNU5AxEOSDg1nN",1,31,"4YFVmlODRV6huVE40Iit4i"
"Watching the Rain","3RchxeOVaDXmQRBWeL5CNZ","1LJRZdNhcKvJBZaslynq4h",1,46,"58DtNpxGYWQPYz0naQB0xK"
